uniprotID	gene	upregulated_set_hits	upregulated_set_size	downregulated_set_hits	down_regulated_set_size	background_set_hits	background_set_size	upregulated_enrichment_value	upregulated_enrichment_value_log2	upregulated_p_value	upregulated_adjusted_p_value	upregulated_p_value_log10_abs	upregulated_adjusted_p_value_log10_abs	downregulated_enrichment_value	downregulated_enrichment_value_log2	downregulated_p_value	downregulated_adjusted_p_value	downregulated_p_value_log10_abs	downregulated_adjusted_p_value_log10_abs	dominant_enrichment_value	dominant_enrichment_value_log2	dominant_p_value	dominant_adjusted_p_value	dominant_p_value_log10_abs	dominant_adjusted_p_value_log10_abs	dominant_direction
O00141	SGK1	28	49839	35	30754	212	293548	0.7779156136987528	-0.3623144310657568	0.9136943192936345	1	0.03919907521638737	0	1.575814023209082	0.6560972786863378	0.011028715406930586	0.09433617776429987	1.957475069986925	1.0253217241206478	0.6345926519701481	-0.6560972786863378	0.011028715406930586	0.04843044591739083	1.957475069986925	1.3148815322218754	downregulated set
O00238	BMPR1B	558	49839	174	30754	1393	293548	2.359464870348643	1.2384596916056767	2.992031463703259e-57	1.2951221907172678e-55	56.52403384381531	54.88768925532726	1.1922712735277041	0.2537125247654932	0.017756481521079705	0.1251212535090035	1.7506430862693156	0.9026689133465972	2.359464870348643	1.2384596916056767	2.992031463703259e-57	1.2951221907172678e-55	56.52403384381531	54.88768925532726	upregulated set
O00311	CDC7	467	49839	175	30754	1582	293548	1.7386750679118483	0.7979883399399421	1.9239588228719822e-23	2.77599773014386e-22	22.715804227095944	21.556580893327556	1.0558843997733784	0.07845189435279738	0.25908701790007177	0.7009229144975155	0.5865543477073951	0.1543297418752717	1.7386750679118483	0.7979883399399421	1.9239588228719822e-23	2.77599773014386e-22	22.715804227095944	21.556580893327556	upregulated set
O00418	EEF2K	135	49839	73	30754	975	293548	0.8155288734815882	-0.2941921389909248	0.9895324553587417	1	0.004569956938074601	0	0.7146746484314273	-0.4846414822555072	0.9983865631598374	0.9999998612414573	7.012725983556091e-4	6.026207357337329e-8	0.8155288734815882	-0.2941921389909248	0.9895324553587417	0.9999998612414573	0.004569956938074601	6.026207357337329e-8	upregulated set
O00444	PLK4	175	49839	74	30754	1046	293548	0.9854075768212759	-0.021207530279628226	0.5836447361573867	1	0.23385142698818942	0	0.6752837980395124	-0.5664341512767819	0.9997621981754868	0.9999998612414573	1.032883017326946e-4	6.026207357337329e-8	0.9854075768212759	-0.021207530279628226	0.5836447361573867	0.8931533083620614	0.23385142698818942	0.04907398874741551	upregulated set
O00506	STK25	53	49839	42	30754	563	293548	0.5544711982658577	-0.8508155726396011	0.9999966424752627	1	1.4581569141834862e-6	0	0.7120843250259818	-0.48987999963204837	0.9888321264438628	0.9999998612414573	0.004877432111004104	6.026207357337329e-8	1.4043280617973342	0.48987999963204837	0.9888321264438628	0.9999998612414573	0.004877432111004104	6.026207357337329e-8	downregulated set
O14578	CIT	60	49839	74	30754	439	293548	0.8050019825590154	-0.31293575858614775	0.9525339273620858	1	0.021119546672049034	0	1.6089430371704316	0.6861132499603888	2.1234742422429316e-4	0.007192726743716768	3.6729530026363846	2.1431064385105816	0.6215260434319977	-0.6861132499603888	2.1234742422429316e-4	0.001407272623770672	3.6729530026363846	2.8516217607528307	downregulated set
O14757	CHEK1	213	49839	143	30754	1167	293548	1.075044585527572	0.10439649421999944	0.17564463421032123	0.9261304757638115	0.7553651129852093	0.03332782442767089	1.169613039021221	0.22603129987288992	0.044945862778541006	0.2161681971729829	1.3473102784611877	0.6652081994124645	0.8549836284630001	-0.22603129987288992	0.044945862778541006	0.14335364654629396	1.3473102784611877	0.8435912552477304	downregulated set
O14874	BCKDK	196	49839	107	30754	1100	293548	1.049487334603444	0.0696847560392539	0.2781564661674813	1	0.5557108397741499	0	0.9284676632384085	-0.10707643017413931	0.7810869949054211	0.9999998612414573	0.10730059313509993	6.026207357337329e-8	1.049487334603444	0.0696847560392539	0.2781564661674813	0.5733429200595023	0.5557108397741499	0.241585546020021	upregulated set
O14920	IKBKB	253	49839	112	30754	1111	293548	1.341266827056574	0.42359627063420385	2.5737764766033654e-5	2.1662618678078323e-4	4.589429172735798	3.66428904500078	0.9622346238132541	-0.05553938245021413	0.6648801511830167	0.9999998612414573	0.17725663194612434	6.026207357337329e-8	1.341266827056574	0.42359627063420385	2.5737764766033654e-5	1.9496356810270494e-4	4.589429172735798	3.710046535561455	upregulated set
O14965	AURKA	144	49839	113	30754	909	293548	0.9330449970698014	-0.09998143665696761	0.7915864399783734	1	0.10150165394644835	0	1.1865649677637724	0.2467910942989164	0.05077675309072972	0.22963218188792697	1.2943350734477852	0.6389672476463066	0.8427688556191095	-0.2467910942989164	0.05077675309072972	0.1554076382473849	1.2943350734477852	0.8085276395430302	downregulated set
O14976	GAK	245	49839	169	30754	1497	293548	0.963945211561145	-0.05297694558492983	0.7123007361090845	1	0.14733660684460906	0	1.0775929627633252	0.10781233440245741	0.18968963905998856	0.558019035292976	0.7219563898385907	0.25335098604145784	0.9279941819921043	-0.10781233440245741	0.18968963905998856	0.4354239442058828	0.7219563898385907	0.3610876925421355	downregulated set
O15075	DCLK1	58	49839	81	30754	599	293548	0.5703121170344119	-0.810176409891911	0.9999958656965915	1	1.7955088684212606e-6	0	1.2907286026969722	0.3681856817414651	0.02066431275255693	0.1423019719096534	1.6847790337761925	0.846789081760075	0.7747562097179097	-0.3681856817414651	0.02066431275255693	0.08131541251980194	1.6847790337761925	1.0898271304463694	downregulated set
O15111	CHUK	367	49839	175	30754	1546	293548	1.3981860497726672	0.48355634585311036	1.572440512203663e-8	1.4437862884779088e-7	7.803425775587225	6.840497086962808	1.0804858753784772	0.11168021272993563	0.17665964799530307	0.5335642773416709	0.7528626392554458	0.27281325456512745	1.3981860497726672	0.48355634585311036	1.572440512203663e-8	1.4437862884779088e-7	7.803425775587225	6.840497086962808	upregulated set
O15264	MAPK13	242	49839	133	30754	1466	293548	0.9722773690548441	-0.04056015361157713	0.6671529071297035	1	0.17577461718975257	0	0.8659420134973193	-0.20765767460137904	0.9505664042191171	0.9999998612414573	0.02201753899990149	6.026207357337329e-8	0.9722773690548441	-0.04056015361157713	0.6671529071297035	0.9629355285940808	0.17577461718975257	0.016402789213095684	upregulated set
O15530	PDPK1	68	49839	61	30754	577	293548	0.6941347956708361	-0.5267122445298993	0.9987849084721447	1	5.280284119865503e-4	0	1.009094381335362	0.013061117077119955	0.4929083797154331	0.9999998612414573	0.3072337985358062	6.026207357337329e-8	0.9909875810394196	-0.013061117077119955	0.4929083797154331	0.8239607816616122	0.3072337985358062	0.08409345907144129	downregulated set
O43293	DAPK3	73	49839	75	30754	584	293548	0.7362418812032825	-0.44174827495933155	0.995470165143022	1	0.001971751515947171	0	1.2258159422285289	0.29374237285523436	0.05827089618471517	0.24186413073929722	1.2345483025708486	0.6164285341889995	0.8157831576101088	-0.29374237285523436	0.05827089618471517	0.16815315756160662	1.2345483025708486	0.7742949731384816	downregulated set
O43318	MAP3K7	139	49839	87	30754	850	293548	0.9631721333557117	-0.05413444246073572	0.6722862178526425	1	0.17244579187170567	0	0.9769619957801401	-0.03362565302731123	0.5981443325331164	0.9999998612414573	0.22319400788552793	6.026207357337329e-8	1.0235812696086128	0.03362565302731123	0.5981443325331164	0.9016802624752948	0.22319400788552793	0.04494743680371182	downregulated set
O43353	RIPK2	94	49839	60	30754	728	293548	0.7605134052112719	-0.39495441700809963	0.9956661260130346	1	0.001886267940394645	0	0.7866525023973289	-0.3462016177083213	0.9708971602106007	0.9999998612414573	0.012826769184030603	6.026207357337329e-8	1.2712093293449054	0.3462016177083213	0.9708971602106007	0.9999998612414573	0.012826769184030603	6.026207357337329e-8	downregulated set
O43683	BUB1	181	49839	131	30754	1322	293548	0.8064126736850239	-0.3104097822910333	0.9975490204040814	1	0.0010657535180083754	0	0.9458369948987222	-0.08033652328288628	0.740414289637801	0.9999998612414573	0.13052520816473123	6.026207357337329e-8	1.0572646295222121	0.08033652328288628	0.740414289637801	0.9999998612414573	0.13052520816473123	6.026207357337329e-8	downregulated set
O43781	DYRK3	122	49839	111	30754	1077	293548	0.6671984248141227	-0.5838122121532513	0.9999965684626757	1	1.4903002813980697e-6	0	0.9837499191890056	-0.023636482778674864	0.5796117942783303	0.9999998612414573	0.23686278583391707	6.026207357337329e-8	1.016518507899234	0.023636482778674864	0.5796117942783303	0.8914841302859599	0.23686278583391707	0.04988638349320496	downregulated set
O60285	NUAK1	96	49839	79	30754	734	293548	0.7703454657291549	-0.3764225193109575	0.9941837638380157	1	0.0025333336664769644	0	1.0273315634095206	0.03890187560671372	0.4273604880854192	0.9055260691600141	0.36920563331773415	0.04309904228049098	0.9733955770629569	-0.03890187560671372	0.4273604880854192	0.7315832084174126	0.36920563331773415	0.13573627117723572	downregulated set
O75116	ROCK2	43	49839	46	30754	283	293548	0.8949073614622572	-0.16018974890853396	0.7730562832192156	1	0.11178888563964437	0	1.5514753360144347	0.6336407623564853	0.005263657557122214	0.058349812020775146	2.278712372792625	1.2339605387355188	0.6445477906009691	-0.6336407623564853	0.005263657557122214	0.02531568634615922	2.278712372792625	1.5966102937439015	downregulated set
O75385	ULK1	191	49839	113	30754	1205	293548	0.9335773946299946	-0.09915846641497807	0.8205771278974701	1	0.08588059237319143	0	0.8950864934072468	-0.15990099621939943	0.8804581664883663	0.9999998612414573	0.055291273989568616	6.026207357337329e-8	0.9335773946299946	-0.09915846641497807	0.8205771278974701	0.9999998612414573	0.08588059237319143	6.026207357337329e-8	upregulated set
O75460	ERN1	126	49839	106	30754	1094	293548	0.6783659574017032	-0.5598643222740567	0.999993776344585	1	2.7029076150052467e-6	0	0.9248345484788877	-0.11273280216536422	0.7915987882926334	0.9999998612414573	0.101494879243592	6.026207357337329e-8	1.0812744848737972	0.11273280216536422	0.7915987882926334	0.9999998612414573	0.101494879243592	6.026207357337329e-8	downregulated set
O75582	RPS6KA5	69	49839	53	30754	478	293548	0.8502268864541196	-0.23408021330298984	0.9087362501230544	1	0.04156214729203726	0	1.0583600731092226	0.08183054173504763	0.3687701473572236	0.8729480831971776	0.4332442431573941	0.0590115843029575	0.9448580170472853	-0.08183054173504763	0.3687701473572236	0.6855052432468635	0.4332442431573941	0.16398921905904693	downregulated set
O75676	RPS6KA4	62	49839	54	30754	425	293548	0.8592492563868129	-0.21885139682923885	0.8824761134152876	1	0.054297041126914164	0	1.2127791169087405	0.2783168167750176	0.10608368303030276	0.37375995300211323	0.9743514107721579	0.4274072335134206	0.8245524564678403	-0.2783168167750176	0.10608368303030276	0.27472953810411743	0.9743514107721579	0.5610946440160145	downregulated set
O75716	STK16	189	49839	139	30754	1424	293548	0.7817396444878527	-0.35523989163563635	0.9995226974254189	1	2.0733936008122264e-4	0	0.931709721722037	-0.10204754801442967	0.7979151952447635	0.9999998612414573	0.09804326428132767	6.026207357337329e-8	1.0732956592443246	0.10204754801442967	0.7979151952447635	0.9999998612414573	0.09804326428132767	6.026207357337329e-8	downregulated set
O75914	PAK3	76	49839	83	30754	607	293548	0.7374547916242702	-0.4393734847100477	0.9959281869158352	1	0.0017719759845210119	0	1.305167122543953	0.38423455118461186	0.015626314058994405	0.11548227219208061	1.8061434514511434	0.937484679668574	0.766185404709598	-0.38423455118461186	0.015626314058994405	0.06313030879833739	1.8061434514511434	1.1997620863405385	downregulated set
O76039	CDKL5	86	49839	79	30754	816	293548	0.6207538696175209	-0.6879067450730723	0.9999969311158371	1	1.3328015026574699e-6	0	0.9240860857629425	-0.11390083878907821	0.7639872144379992	0.9999998612414573	0.11691390941578622	6.026207357337329e-8	1.082150262195953	0.11390083878907821	0.7639872144379992	0.9999998612414573	0.11691390941578622	6.026207357337329e-8	downregulated set
